Step,Reward,Actor_Loss,Critic_Loss
0,-22335.19609675408,1.5763967037200928,41377.62109375
100,-30.45099792480469,3.570638418197632,37647.078125
200,-156.4135009765625,6.747485637664795,37019.71875
300,-184.577490234375,11.723787307739258,44412.77734375
400,-173.5650146484375,18.394481658935547,35643.78515625
500,-165.15799560546876,29.270187377929688,33677.45703125
600,-216.8760009765625,45.22595977783203,29813.85546875
700,-218.40849609375,67.4210433959961,28666.861328125
800,-310.2715087890625,95.65835571289062,17706.00390625
900,-249.368505859375,144.675537109375,12576.599609375
1000,-126.631005859375,197.1880340576172,10830.1875
1100,-129.54150390625,235.48538208007812,10370.7705078125
1200,-274.1375,237.63998413085938,16674.546875
1300,-308.1239990234375,226.64144897460938,14677.9833984375
1400,-214.9175048828125,201.29852294921875,10604.6640625
1500,-208.881494140625,163.98568725585938,7554.0712890625
1600,-212.3824951171875,151.92086791992188,6500.6796875
1700,-217.1385009765625,132.3088836669922,6734.8583984375
1800,-306.5609619140625,129.18386840820312,7545.78515625
1900,-288.210009765625,119.42835235595703,8594.9140625
2000,-75.01650390625,133.2073516845703,8688.8427734375
2100,-93.49949951171875,139.67819213867188,7663.302734375
2200,-104.5655029296875,136.02072143554688,5471.974609375
2300,-120.1699951171875,168.3729248046875,6997.32763671875
2400,-117.19801025390625,179.6938934326172,5102.775390625
2500,-123.05599365234374,192.26266479492188,4728.314453125
2600,-157.898486328125,204.38470458984375,6992.6943359375
2700,-171.281005859375,203.74526977539062,6066.076171875
2800,-264.5560302734375,203.63096618652344,6168.5595703125
2900,-251.9455078125,200.3895263671875,6462.9169921875
3000,-88.922998046875,181.5256805419922,5266.1171875
3100,-92.73350219726562,168.50534057617188,4414.091796875
3200,-140.764990234375,157.24612426757812,4764.841796875
3300,-138.19200439453124,142.3639373779297,3373.270263671875
3400,-169.435009765625,144.77528381347656,4830.10400390625
3500,-174.6405029296875,139.59408569335938,5148.775390625
3600,-146.51650390625,138.85037231445312,4903.880859375
3700,-156.54849853515626,155.89645385742188,3102.649169921875
3800,-266.6169921875,151.8330078125,3535.115234375
3900,-251.778515625,171.5697479248047,4393.5791015625
4000,-218.01650390625,169.38868713378906,3769.519775390625
4100,-243.910986328125,180.49708557128906,3534.81396484375
4200,-327.7134765625,182.6444854736328,4834.05078125
4300,-357.653466796875,195.03822326660156,4809.02490234375
4400,-386.6635009765625,202.20262145996094,4655.154296875
4500,-357.3550048828125,180.5969696044922,3590.4970703125
4600,-154.63748779296876,188.47677612304688,5664.60791015625
4700,-171.15850830078125,184.8104248046875,4771.9384765625
4800,-308.8544921875,170.8186492919922,4116.97998046875
4900,-300.2085205078125,175.54205322265625,3493.260498046875
5000,-236.160986328125,168.19613647460938,4180.7236328125
5100,-241.546484375,157.73439025878906,3057.47705078125
5200,-384.5955078125,167.23446655273438,5596.150390625
5300,-416.329541015625,157.46585083007812,6476.3876953125
5400,-477.2775390625,167.98959350585938,7305.876953125
5500,-414.83798828125,177.96591186523438,7561.1396484375
5600,-190.43299560546876,191.4969482421875,9501.3330078125
5700,-203.22100830078125,198.41461181640625,6814.10693359375
5800,-320.3159912109375,195.5697021484375,7045.9326171875
5900,-290.36201171875,195.50865173339844,6012.09814453125
6000,-227.5544921875,202.47842407226562,5362.21533203125
6100,-188.4580078125,192.36135864257812,5991.5986328125
6200,-291.314990234375,177.9100799560547,5924.6953125
6300,-316.451513671875,182.0068359375,5245.5341796875
6400,-382.789990234375,177.93821716308594,3771.70361328125
6500,-318.4859619140625,189.1168975830078,6625.5009765625
6600,-155.072998046875,193.559814453125,5124.4970703125
6700,-156.06199951171874,182.46273803710938,5245.4091796875
6800,-255.3900146484375,193.48065185546875,4788.5869140625
6900,-247.510986328125,189.61737060546875,5514.71630859375
7000,-187.92950439453125,196.920654296875,4230.00048828125
7100,-183.1025146484375,215.652587890625,4154.341796875
7200,-314.2875,215.7677001953125,4129.4638671875
7300,-341.8885009765625,204.47634887695312,3560.56591796875
7400,-377.2175048828125,195.49285888671875,3507.5556640625
7500,-378.9659912109375,199.67893981933594,3933.9619140625
7600,-154.47750244140624,199.18002319335938,3657.784423828125
7700,-159.14901123046874,205.226318359375,4131.451171875
7800,-278.5550048828125,205.96493530273438,4983.6083984375
7900,-261.59951171875,204.86874389648438,6161.2021484375
8000,-255.5980224609375,208.3673095703125,4427.033203125
8100,-258.9965087890625,204.67538452148438,4020.93896484375
8200,-422.418994140625,211.87875366210938,3542.701416015625
8300,-462.06748046875,204.37391662597656,4618.451171875
8400,-327.3695068359375,207.14712524414062,4742.76171875
8500,-284.55400390625,218.30792236328125,4767.560546875
8600,-155.6849853515625,210.35867309570312,4324.935546875
8700,-170.9,218.8232421875,3760.689697265625
8800,-336.855517578125,229.102294921875,3056.12890625
8900,-321.985498046875,228.8980712890625,3990.632080078125
9000,-376.2960205078125,225.28836059570312,2120.02880859375
9100,-396.239013671875,236.67210388183594,4637.3505859375
9200,-508.397998046875,233.29730224609375,3843.966796875
9300,-541.859033203125,228.16885375976562,5161.8271484375
9400,-335.7655029296875,230.27259826660156,5351.65771484375
9500,-285.9130126953125,214.53443908691406,3989.349365234375
9600,-113.32349853515625,209.80856323242188,3854.8720703125
9700,-118.02401123046874,195.30909729003906,4567.73046875
9800,-229.8840087890625,207.08497619628906,3499.95751953125
9900,-233.2215087890625,192.364990234375,2730.428955078125
10000,-171.73699951171875,192.55508422851562,3707.38525390625
10100,-150.118994140625,198.0258026123047,3862.51708984375
10200,-371.28046875,188.08453369140625,4931.43017578125
10300,-436.996484375,208.99179077148438,4268.62451171875
10400,-450.641455078125,214.18234252929688,3583.479736328125
10500,-449.37255859375,222.49212646484375,5021.14306640625
10600,-203.35048828125,208.57730102539062,5419.666015625
10700,-220.0455078125,204.4085693359375,3641.18115234375
10800,-373.87548828125,201.56288146972656,3306.7568359375
10900,-313.303466796875,183.03402709960938,3445.03173828125
11000,-166.35550537109376,189.97512817382812,4873.7998046875
11100,-159.564013671875,195.36024475097656,5024.734375
11200,-274.0094970703125,201.3810577392578,4395.89453125
11300,-302.506494140625,191.11810302734375,3568.52978515625
11400,-303.056494140625,203.85433959960938,2852.286865234375
11500,-321.3294921875,224.2399139404297,4815.1796875
11600,-172.2864990234375,226.5020294189453,4885.44091796875
11700,-191.12349853515624,212.71202087402344,4464.2392578125
11800,-244.9385009765625,210.7054443359375,3595.677734375
11900,-247.485498046875,220.8466796875,4509.71630859375
12000,0.0,210.2674560546875,3642.04833984375
12100,-1.8100000381469727,184.28517150878906,4053.31689453125
12200,-47.095001220703125,194.1787109375,3222.922119140625
12300,-57.9625,186.9147491455078,3741.477294921875
12400,-84.9625,203.57302856445312,3827.750732421875
12500,-95.82999877929687,211.3601531982422,4753.14892578125
12600,-122.8300048828125,216.02027893066406,4312.03271484375
12700,-133.69749755859374,188.0113983154297,3376.7607421875
12800,-180.94749755859374,218.2501220703125,5022.802734375
12900,-154.82750244140624,213.6988983154297,3369.62060546875
13000,0.0,194.47198486328125,3336.42626953125
13100,-1.9774999618530273,204.5196990966797,2761.379638671875
13200,-14.227499389648438,176.71939086914062,3359.088623046875
13300,-17.04499969482422,188.65740966796875,3230.894775390625
13400,-24.04499969482422,194.83230590820312,5965.3564453125
13500,-26.8625,190.01129150390625,2523.740234375
13600,-33.8625,197.9698944091797,3169.05908203125
13700,-36.679998779296874,173.49530029296875,3540.7958984375
13800,-48.929998779296874,204.93978881835938,3573.0009765625
13900,-14.560000610351562,213.45428466796875,2979.34423828125
14000,0.0,200.65704345703125,4061.843017578125
14100,0.0,190.86892700195312,3158.82568359375
14200,-46.960000610351564,175.18601989746094,3635.2724609375
14300,-52.51500244140625,178.821044921875,2851.8779296875
14400,-65.22000122070312,193.99972534179688,2630.594970703125
14500,-70.775,179.0902099609375,3151.99853515625
14600,-83.47999877929688,185.4305877685547,3029.473876953125
14700,-89.03499755859374,181.01434326171875,3652.44091796875
14800,-118.18499755859375,175.35223388671875,2237.9248046875
14900,-105.97249755859374,184.09530639648438,2798.289794921875
15000,-24.1125,195.0764923095703,3221.56884765625
15100,-21.839999389648437,196.10812377929688,2965.50439453125
15200,-4.075,211.197509765625,3345.11328125
15300,-4.579999923706055,206.18124389648438,3721.662109375
15400,-5.7650001525878904,157.3150634765625,1842.4356689453125
15500,-6.270000076293945,167.03717041015625,2870.1552734375
15600,-7.444999694824219,152.51039123535156,3113.73876953125
15700,-7.95,163.61489868164062,2949.198974609375
15800,-10.625,163.42149353027344,2411.7998046875
15900,0.0,165.8363037109375,2530.0126953125
16000,-3.8099998474121093,187.6167449951172,3002.5703125
16100,0.0,184.95765686035156,2697.529296875
16200,-57.472503662109375,33.69213104248047,176.1073455810547
16300,-51.66849975585937,30.018569946289062,251.99147033691406
16400,-19.053500366210937,28.118391036987305,142.33377075195312
16500,-23.403500366210938,31.661983489990234,99.98748779296875
16600,-26.260501098632812,30.041370391845703,227.73388671875
16700,-23.151499938964843,34.61991882324219,184.58596801757812
16800,-38.76500244140625,38.688323974609375,121.81965637207031
16900,-23.879998779296876,38.0762825012207,176.88021850585938
17000,-75.48150634765625,37.852298736572266,248.0138397216797
17100,-88.90549926757812,38.27855682373047,226.73464965820312
17200,-166.36649169921876,35.61012268066406,179.64849853515625
17300,-184.5235107421875,30.766380310058594,282.105224609375
17400,-235.92548828125,33.60382080078125,169.197998046875
17500,-167.46650390625,30.786535263061523,165.75613403320312
17600,-35.73999938964844,30.82303237915039,223.01882934570312
17700,-33.082498168945314,36.87174987792969,437.4952697753906
17800,-57.1625,34.51312255859375,254.03831481933594
17900,-14.160000610351563,36.69849395751953,254.57467651367188
18000,-26.610000610351562,40.96389389038086,658.5128784179688
18100,-17.24499969482422,34.596168518066406,764.1682739257812
18200,-25.54499969482422,38.99870300292969,221.2896728515625
18300,-34.028997802734374,40.90194320678711,560.6301879882812
18400,-9.734999084472657,33.55026626586914,369.624755859375
18500,-9.342499542236329,32.2088623046875,293.2671203613281
18600,-19.647500610351564,32.363853454589844,341.6181640625
18700,-22.93000030517578,26.28264045715332,433.3489074707031
18800,-54.59749755859375,28.211923599243164,476.39251708984375
18900,-30.592498779296875,27.755603790283203,315.0384521484375
19000,-52.32850341796875,37.07935333251953,484.6849060058594
19100,-24.3875,36.72722244262695,307.19866943359375
19200,-35.946502685546875,40.044612884521484,232.28298950195312
19300,-32.080499267578126,38.00148010253906,184.82806396484375
19400,-48.40149841308594,32.548519134521484,455.0002136230469
19500,-25.67749938964844,31.04741668701172,367.564208984375
19600,-26.879998779296876,23.78915023803711,598.9871826171875
19700,-19.084999084472656,24.8701114654541,375.70379638671875
19800,-40.29500122070313,30.5443058013916,242.02926635742188
19900,-10.725,32.39695739746094,455.97406005859375
20000,-23.36999969482422,37.3917350769043,235.3322296142578
20100,-1.6,37.11317443847656,192.2958526611328
20200,-48.845001220703125,40.5965461730957,306.265625
20300,-41.625,33.75080871582031,278.42498779296875
20400,-8.125,31.19020652770996,169.3009796142578
20500,-6.665000152587891,26.51547622680664,478.849365234375
20600,-14.910000610351563,28.002111434936523,185.4475860595703
20700,-16.08000030517578,26.151538848876953,159.18319702148438
20800,-37.19499816894531,29.157264709472656,276.50128173828125
20900,-7.658000183105469,33.82295227050781,205.0988311767578
21000,-21.445999145507812,30.234661102294922,154.7268524169922
21100,-7.418000030517578,31.59136199951172,227.59393310546875
21200,-22.745999145507813,28.839122772216797,118.54033660888672
21300,-19.674000549316407,35.034149169921875,466.3283386230469
21400,-27.157000732421874,32.220340728759766,213.80596923828125
21500,-22.124000549316406,34.18571472167969,271.5992431640625
21600,-18.45,34.02811050415039,209.1747589111328
21700,-21.985000610351562,26.429935455322266,169.56561279296875
21800,-25.229998779296874,26.401432037353516,138.9747314453125
21900,-25.31999816894531,28.12215805053711,195.80117797851562
22000,-23.746998596191407,33.550071716308594,249.4395751953125
22100,-16.2364990234375,36.689674377441406,566.27392578125
22200,-26.477999877929687,32.55150604248047,146.4580078125
22300,-34.004998779296876,34.678924560546875,60.928070068359375
22400,-20.066499328613283,31.50070571899414,224.7875213623047
22500,-17.7364990234375,29.156654357910156,424.6272888183594
22600,-29.527499389648437,29.863895416259766,344.5836181640625
22700,-18.20500030517578,26.134292602539062,184.63014221191406
22800,-13.963999938964843,33.0645751953125,489.3678894042969
22900,-13.922999572753906,28.44265365600586,201.53146362304688
23000,-15.43800048828125,24.256532669067383,155.39402770996094
23100,-18.14300079345703,28.712203979492188,199.1676025390625
23200,-51.37900390625,26.691837310791016,212.67877197265625
23300,-46.67750244140625,28.408248901367188,82.77030944824219
23400,-63.841497802734374,31.890718460083008,391.4301452636719
23500,-40.31500244140625,29.977731704711914,177.30419921875
23600,-38.617498779296874,26.59271240234375,181.1702423095703
23700,-21.45500030517578,29.24373435974121,140.96163940429688
23800,-28.289999389648436,27.710002899169922,169.41693115234375
23900,-34.375,26.090415954589844,159.86264038085938
24000,-87.76500244140625,29.897218704223633,297.2005920410156
24100,-104.33699951171874,27.07079315185547,352.43231201171875
24200,-210.960009765625,33.18534469604492,131.91302490234375
24300,-233.177978515625,32.94719696044922,171.73028564453125
24400,-239.4710205078125,37.229164123535156,1233.2022705078125
24500,-192.58099365234375,38.012447357177734,716.864990234375
24600,-57.075,31.20271110534668,179.42251586914062
24700,-61.32999877929687,31.674543380737305,610.1736450195312
24800,-115.5050048828125,30.50811195373535,457.83935546875
24900,-90.59500122070312,29.727558135986328,481.7907409667969
25000,-143.2010009765625,34.226646423339844,500.825439453125
25100,-104.83499755859376,33.77342987060547,199.50924682617188
25200,-144.075,39.80300521850586,717.05322265625
25300,-143.02999267578124,35.53450012207031,676.038818359375
25400,-29.110000610351562,37.010955810546875,686.6285400390625
25500,-8.444999694824219,36.444236755371094,493.2481689453125
25600,-20.870001220703124,42.27703857421875,537.2184448242188
25700,-26.929998779296874,37.9265251159668,383.40753173828125
25800,-72.95249633789062,39.326133728027344,512.6665649414062
25900,-53.79750366210938,41.11134719848633,357.03912353515625
26000,-141.29749755859376,33.601741790771484,281.39654541015625
26100,-100.00999755859375,35.509254455566406,240.53411865234375
26200,-170.19249267578124,32.39174270629883,269.46881103515625
26300,-179.2989990234375,33.9663200378418,258.91412353515625
26400,-45.0125,30.539390563964844,217.57363891601562
26500,-5.525,32.775146484375,362.89544677734375
26600,-12.5125,34.042938232421875,331.95574951171875
26700,-12.954998779296876,38.87828063964844,308.9244384765625
